uri,followers,genres,name,popularity
spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,17476633,"['canadian contemporary r&b', 'canadian pop', 'pop', 'rap']",The Weeknd,89
spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,8095616,"['atl hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Future,88
spotify:artist:1pQWsZQehhS4wavwh7Fnxd,450773,"['reggaeton flow', 'trap argentino']",Lenny Tavárez,88
spotify:artist:64KEffDW9EtZ1y2vBYgq8T,17637082,"['brostep', 'pop', 'progressive electro house']",Marshmello,88
spotify:artist:6vWDO969PvNqNYHIOW5v0m,20598014,"['dance pop', 'pop', 'r&b']",Beyoncé,88
spotify:artist:4GNC7GD6oZMSxPGyXy4MNB,1421971,"['pop', 'uk pop']",Lewis Capaldi,88
spotify:artist:5JZ7CnR6gTvEMKX4g70Amv,1827377,"['dance pop', 'pop']",Lauv,88
spotify:artist:0du5cEVh5yTK9QJze8zA0C,22751410,['pop'],Bruno Mars,88
spotify:artist:56oDRnqbIiwx4mymNEv7dS,1420021,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']",Lizzo,88
spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,22607892,"['permanent wave', 'pop']",Coldplay,88
spotify:artist:5fMUXHkw8R8eOP2RNVYEZX,2104869,"['bmore', 'edm', 'moombahton', 'ninja', 'pop']",Diplo,88
spotify:artist:7CajNmpbOovFoOoasH2HaY,18585087,"['edm', 'electro house', 'house', 'pop', 'progressive house', 'tropical house', 'uk dance']",Calvin Harris,87
spotify:artist:6jJ0s89eD6GaHleKKya26X,14055364,"['dance pop', 'pop', 'post-teen pop']",Katy Perry,87
spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW,1275341,"['atl hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Offset,87
spotify:artist:5YGY8feqx7naU7z4HrwZM6,10122853,"['dance pop', 'pop', 'post-teen pop']",Miley Cyrus,87
spotify:artist:23fqKkggKUBHNkbKtXEls4,5617726,"['edm', 'pop', 'tropical house']",Kygo,87
spotify:artist:13ubrt8QOOCPljQ2FL1Kca,6051803,"['east coast hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",A$AP Rocky,87
spotify:artist:1zNqQNIdeOUZHb8zbZRFMX,518018,['trap'],Swae Lee,87
spotify:artist:1URnnhqYAYcrqrcwql10ft,6851905,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",21 Savage,87
spotify:artist:6fOMl44jA4Sp5b9PpYCkzz,2521515,"['hip hop', 'rap']",NF,87
spotify:artist:0tmwSHipWxN12fsoLcFU3B,4583573,"['colombian pop', 'latin', 'reggaeton']",Manuel Turizo,87
spotify:artist:07YUOmWljBTXwIseAUd9TW,9075077,['colombian pop'],Sebastian Yatra,87
spotify:artist:790FomKkXshlbRYZFtlgla,6879824,['reggaeton'],KAROL G,87
spotify:artist:14zUHaJZo1mnYtn6IBRaRP,1351617,"['latin', 'reggaeton', 'tropical']",Justin Quiles,87
spotify:artist:1HY2Jd0NmPuamShAr6KMms,9462145,"['dance pop', 'pop']",Lady Gaga,87
spotify:artist:2cFrymmkijnjDg9SS92EPM,2459257,['pop'],blackbear,87
spotify:artist:4O15NlyKLIASxsJ0PrXPfz,7124526,"['melodic rap', 'philly rap', 'rap', 'trap']",Lil Uzi Vert,87
spotify:artist:13y7CgLHjMVRMDqxdx0Xdo,2919253,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Gucci Mane,86
spotify:artist:64M6ah0SkkRsnPGtGiRAbb,4234867,"['dance pop', 'pop', 'post-teen pop']",Bebe Rexha,86
spotify:artist:1GDbiv3spRmZ1XdM1jQbT7,3536350,"['latin', 'rap latina', 'reggaeton', 'tropical']",Natti Natasha,86
spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,14239444,"['australian dance', 'australian pop', 'dance pop', 'pop']",Sia,86
spotify:artist:6Xgp2XMz1fhVYe7i6yNAax,3551412,"['melodic rap', 'rap', 'trap']",Trippie Redd,86
spotify:artist:6XyY86QOPPrYVGvF9ch6wz,13857174,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",Linkin Park,86
spotify:artist:20sxb77xiYeusSH8cVdatc,3613400,"['hip hop', 'philly rap', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Meek Mill,86
spotify:artist:20JZFwl6HVl6yg8a4H3ZqK,8189351,"['baroque pop', 'emo', 'modern rock', 'pop punk']",Panic! At The Disco,86
spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,15570885,"['big room', 'edm', 'pop']",Avicii,86
spotify:artist:3YQKmKGau1PzlVlkL1iodx,14945820,"['indie pop', 'pop punk', 'rock']",Twenty One Pilots,86
spotify:artist:540vIaP2JwjQb9dm3aArA4,5881307,['electronic trap'],DJ Snake,86
spotify:artist:1anyVhU62p31KFi8MEzkbf,4439264,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']",Chance the Rapper,86
spotify:artist:5Rl15oVamLq7FbSb0NNBNy,5324491,"['boy band', 'dance pop', 'pop', 'post-teen pop']",5 Seconds of Summer,86
